Nome,Danos Min,Danos Max,Encaixe,Resistência,Agilidade,Preço de Venda,Skills Duas Mãos,Moral,Notas
Lâmina de Tesoura,37,42,3,-18,-14,43900,116,, 
Decapitador,37,42,3,-17,-13,2300,112,, 
Machado Gigante,35,39,3,-18,-13,42000,107,, 
Espada Simples Matadora de Dragões,34,38,3,-17,-13,40400,103,, 
Cabeça Dupla Robusta [Bazar],33,39,3,-17,-12,2200,100,, 
Gigante de Gelo [Bazar],32,37,3,-17,-13,39500,100,, 
Machado Gigante Pesado,32,37,3,-17,-13,38500,98,, 
Espada Gêmea Cruel,33,38,3,-16,-12,2100,94,, 
Machado de Batalha Duplo,30,35,3,-17,-13,36900,89,, 
Cutelo de Gelo,29,34,3,-16,-12,35000,85,+9000, 
Machado de Guerra Fantasmagórico,29,34,3,-16,-12,35000,85,-9000, 
Cutelo Verde [Bazar],29,34,3,-16,-11,2000,83,, 
Poderoso Mensageiro da Morte [Bazar],28,33,3,-16,-12,34000,83,, 
Espada de Herói de Gume Afiado,27,33,3,-16,-12,33100,81,, 
Machado de Batalha da Nevasca,28,34,3,-15,-11,1900,76,, 
Espada Grande,26,31,3,-15,-12,31500,72,, 
Machado de Batalha Gracioso,25,30,3,-15,-12,29600,67,, 
Devorador de Alma Incandescente [Bazar],25,31,3,-15,-11,1800,65,, 
Machado Lunar Robusto [Bazar],24,30,3,-15,-11,28750,65,, 
Ira da Natureza,24,29,3,-15,-11,28000,63,, 
Cursor,24,28,3,-14,-11,26500,60,, 
A Cabeça,23,27,3,-12,-10,1700,56,, 
Clamor de Runa de Aço,21,26,3,-12,-10,23750,53,, 
Espada Graciosa,20,25,3,-11,-10,22500,52,, 
Espada Cromática,19,24,3,-10,-9,21000,49,, 
Lâmina do Carrasco,19,24,3,-9,-8,1300,46,, 
Pasta da Alma,18,22,3,-8,-9,19000,42,, 
Arkane Schneide,17,21,3,-8,-8,17500,41,, 
Espada Larga Encantada [Bazar],18,23,3,-7,-8,1100,39,, 
Mensageiro do Destino [Bazar],18,21,3,-7,-8,16500,39,, 
Espada Ritual Sagrada,17,21,3,-4,-6,16000,38,+1200, 
Lâmina da Fúria Selvagem,17,21,3,-4,-6,16000,38,-1200, 
Espada Lustrada Grande,16,21,3,-7,-8,14500,37,, 
Mordida Fria,16,21,3,-6,-7,1000,33,, 
Lâmina do Oceano,15,19,3,-5,-6,13500,31,, 
Lâmina Bizarra,14,19,3,-6,-7,13000,29,, 
Espada Brilhante de Duas Mãos,14,18,3,-5,-6,12000,27,, 
Espada Quadrante Afiada,14,17,3,-6,-7,11500,25,, 
Cajado da Geada,12,15,3,-4,-5,9000,24,, 
Lâmina Abençoada,10,13,3,-5,-2,7000,23,+600, 
Lâmina dos Assassinos,10,13,3,-5,-2,7000,23,-600, 
Lâmina Hipnótica,9,12,3,-4,-5,5750,22,, 
Déspota,9,12,1,-3,-4,4250,20,, 
Machado Indomável [Bazar],10,12,2,-4,-4,600,20,, 
Cajado Enferrujado,8,12,1,-3,-4,500,18,, 
Espada Bastarda Pesada,8,10,1,-2,-3,4000,16,, 
Espada Celta [Bazar],8,11,1,-1,-1,350,14,, 
Espada Larga de Duas Mãos [Bazar],8,10,1,-1,-2,3500,14,, 
Espada de Herança Desprezada,7,10,1,-1,-2,3000,12,, 
Espada Longa de Cobre,6,9,1,0,-1,200,8,, 
Espada Entalhada de Duas Mãos,4,9,0,0,+1,1500,6,, 
Espada de Treinamento,2,3,0,0,0,200,0,, 
