Nome,Danos Min,Danos Max,Encaixe,Resistência,Agilidade,Preço de Venda,Skills Uma Mão,Moral,Notas
Martelo Ardente Urzhud-Drihls [Bazar],51,61,3,-16,+9,60700,206,+18000, 
Machado Solar [Bazar],51,61,3,-16,+9,60700,206,-18000, 
Estrela da Manhã do Terremoto,49,59,3,-17,+9,55300,201,, 
Longa Espada de Batalhas Furiosas,52,64,3,-15,+10,2200,199,, 
Machado de Vampiro Sugador de Almas,48,58,3,-16,+8,53900,196,, 
Espada Larga Abissal,47,56,3,-16,+8,52800,192,, 
Lâmina de Netuno,49,60,3,-15,+10,2500,188,, 
Buscador Cruel do Coração,44,54,3,-16,+8,50300,183,, 
Lâmina de Flash Ágil,44,53,3,-16,+8,49900,179,, 
Lâmina de Serra do Senhor Troll [Bazar],45,56,3,-14,+9,2200,174,, 
Lâmina de Assassino Rubi [Bazar],41,50,3,-16,+8,49900,169,, 
Dente Venenoso de Culto à Serpente [Bazar],40,50,3,-15,+9,48700,165,+15000, 
Chama Gelada [Bazar],40,50,3,-15,+9,48700,165,-15000, 
Vanguarda do Alongamento Constante,42,53,3,-14,+9,2100,163,, 
Espada Mortífera [Bazar],39,47,3,-16,+8,47500,161,, 
Lâmina do Príncipe [Bazar],38,46,3,-16,+8,46300,157,, 
Espada Espinhosa da Estrela do Deserto,40,49,3,-14,+9,2000,152,, 
Martelo Anão de Ácido,36,43,3,-15,+7,41100,147,, 
Palito Webbs,35,42,3,-15,+7,39800,142,, 
Vingadores dos Antepassados [Bazar],34,40,3,-15,+7,40000,138,, 
Portador da Morte Amaldiçoado [Bazar],36,43,3,-13,+8,1900,138,, 
Mão Fria [Bazar],33,38,3,-14,+7,37000,130,, 
Divisor de Titânio [Bazar],34,41,3,-13,+8,1800,130,, 
Borda do Apanhador de Almas,31,38,3,-13,+6,35500,128,, 
Separador de Nuvens,33,40,3,-12,+8,1800,125,, 
Espada de Runa Brilhante,29,36,3,-13,+6,34100,121,, 
Toque Mortal [Bazar],31,37,3,-12,+6,1700,120,, 
Legado dos Deuses do Sol [Bazar],29,35,3,-13,+5,33000,120,, 
Thunder Edge,29,35,3,-13,+7,33000,118,+12000, 
Cortador de Magma,29,35,3,-13,+7,33000,118,-12000, 
Borda de Damasco Brilhante,28,34,3,-13,+6,31900,115,, 
Morte Heroica [Bazar],27,34,3,-13,+5,31000,113,, 
Machado Demoníaco do Vingador [Bazar],29,36,3,-10,+8,1700,113,, 
Lâmina do Ferreiro,29,36,3,-11,+7,1700,111,, 
Borda Magistral do Dragão,26,33,3,-12,+5,30500,108,, 
Sopro do Inferno [Bazar],27,34,3,-11,+6,1700,106,, 
Espada do Deus do Fogo [Bazar],25,32,3,-11,+6,30000,106,, 
Machado de Ornamento Encantado,25,31,3,-12,+5,29400,104,, 
Maldita Espada de Damasco,24,30,3,-12,+5,28000,101,, 
Divisor de Crânios Brilhante [Bazar],25,31,3,-10,+6,1600,99,, 
Governante da Luz [Bazar],24,29,3,-14,+3,27000,99,, 
Machado Decorado,23,28,3,-12,+5,26900,97,, 
Machado Machado,25,30,3,-10,+5,1600,94,, 
Espada Bárbara Ardente [Bazar],24,30,3,-8,+5,1600,92,, 
Espada da Conquista [Bazar],22,28,3,-10,+4,26000,92,, 
Lâmina Rúnica em Bronze,22,27,3,-11,+4,25500,90,, 
Lâmina de Aço Frio,21,26,3,-11,+4,24400,87,, 
Machado Encantado [Bazar],22,27,3,-7,+6,1500,85,, 
Morte por Fogo [Bazar],21,25,3,-8,+5,24000,85,, 
Machado Largo Encantado,20,24,3,-11,+4,23000,83,, 
Brisa do Mar,21,25,3,-9,+5,1500,80,, 
Machado de Ornamento,20,23,3,-10,+4,21900,76,, 
Espada Heroica Envenenada [Bazar],19,25,3,-8,+5,1500,75,, 
Espada de Rubi [Bazar],18,25,3,-10,+2,20100,75,, 
Ventade do Espírito da Água,19,22,3,-5,+3,20300,73,+7000, 
Machado Largo,19,22,3,-9,+3,20300,73,-7000, 
Machado de Batalha,19,21,3,-10,+3,19100,70,, 
Lasca de Osso [Bazar],18,22,3,-12,+2,19000,68,, 
Divisor de Crânio Ardente [Bazar],19,24,3,-4,+5,1500,68,, 
Espada de Damasco,19,23,3,-8,+4,1400,66,, 
Maldição em Chama,18,21,3,-9,+2,18000,63,, 
Farpa Cruel,17,20,3,-9,+2,16000,60,, 
Vingador da Noite [Bazar],15,21,3,-7,0,15800,58,, 
Aço Frio [Bazar],17,21,3,-6,+2,1300,58,, 
Florete Misterioso,15,18,3,-8,+1,15500,56,, 
Espada Longa com Alma,16,20,3,-7,+2,1300,53,, 
Rapier Leve,14,17,2,-8,0,14000,52,, 
Garra do Trovão,13,16,2,-7,+1,12500,49,, 
Quedo de Neve,12,16,2,-7,0,11000,46,, 
Machado dos Elementos [Bazar],12,15,2,-5,0,10000,44,, 
Sopro do Dragão [Bazar],13,17,3,-4,+1,1100,44,, 
Lâmina do Arrependimento,13,17,3,-6,0,1100,42,, 
Espada Longa de Ferro,11,14,2,-6,0,9500,41,, 
Conquistador das Florestas [Bazar],11,15,2,-4,0,950,39,, 
Espada do Obelisco [Bazar],11,14,2,-6,-2,9500,39,, 
Espada da Perdição,11,13,2,+4,-7,9000,38,-3200, 
Lâmina da Purificação,11,13,2,+7,+4,9000,38,+1200, 
Maldito Rapier,9,12,2,-6,+1,8500,37,, 
Sabre Serrilhado,8,11,2,-5,0,7250,34,, 
Machado de Batalha de Althazar [Bazar],8,11,2,-2,+2,6500,31,, 
Separador de Uma Mão [Bazar],9,11,2,-5,+1,950,31,, 
Espada Incandescente Larga,9,11,2,-5,+1,1000,29,, 
Espada Elegante Pequena,7,10,2,-4,0,6000,25,, 
Espada Rígida,7,9,2,-3,+2,5300,23,+600, 
Lâmina Sombria,7,9,2,+2,-3,5300,23,-600, 
Espada Bárbara Embelezada [Bazar],6,9,2,-2,0,5000,22,, 
Morte Azul [Bazar],7,9,2,-1,0,500,22,, 
Abraço Frio,6,8,2,-3,0,4500,21,,
Espada Larga Robusta,6,9,1,-2,0,500,18,, 
Rapier Sem Brilho,5,8,1,-1,0,3500,15,, 
Gladius do Poder,5,7,1,0,+1,2500,14,, 
Machado Tridente Sangrento [Bazar],6,7,1,+1,+1,280,13,, 
Três Bolsos [Bazar],5,7,1,0,0,2750,13,, 
Espada Larga de Cobre,4,7,1,-1,0,2000,12,, 
Moído Com Uma Mão,5,7,1,0,+1,200,8,, 
Gladius Enferrujado,4,6,0,0,+1,1000,6,, 
Espada Curta Notável,3,5,0,0,0,500,3,, 
