Nome,Dano Tipo,Dano Valor,Preço de Venda,Condição Level,Moral,Notas
Pedra do Raio (+14) - Bazar,Raio,14,16500,182,,Bazar
Poder da Sombra (+14),Sombra,14,16750,185,-43000, 
Sagrado (+14),Sagrado,14,17000,188,+43000, 
Pedra do Dragão (+15),Dragão,15,1250,191,, 
Pedra de Gelo (+15),Gelo,15,17250,194,, 
Pedra de Fogo (+15),Fogo,15,17500,197,, 
Pedra do Raio (+15) - Bazar,Raio,15,17750,200,,Bazar
Poder da Sombra (+15),Sombra,15,18000,203,-48000, 
Sagrado (+15),Sagrado,15,18250,206,+48000, 
Pedra do Dragão (+16),Dragão,16,1275,209,, 
Pedra de Gelo (+16),Gelo,16,18000,212,, 
Pedra de Fogo (+16),Fogo,16,18250,215,, 
Pedra do Raio (+16) - Bazar,Raio,16,18500,218,,Bazar
Poder da Sombra (+16),Sombra,16,18750,221,-53000, 
Sagrado (+16),Sagrado,16,19000,224,+53000, 
Pedra do Dragão (+17),Dragão,17,1300,227,, 
Pedra de Gelo (+17),Gelo,17,19250,230,, 
Pedra de Fogo (+17),Fogo,17,19500,233,, 
Pedra do Raio (+17) - Bazar,Raio,17,19750,236,,Bazar
Poder da Sombra (+17),Sombra,17,20000,239,-58000, 
Sagrado (+17),Sagrado,17,20250,242,+58000, 
Pedra do Dragão (+18),Dragão,18,1325,245,, 
Pedra de Gelo (+18),Gelo,18,20500,248,, 
Pedra de Fogo (+18),Fogo,18,20750,251,, 
Pedra do Raio (+18) - Bazar,Raio,18,18949,254,,Bazar
Poder da Sombra (+18),Sombra,18,21250,257,-63000, 
Sagrado (+18),Sagrado,18,21500,260,+63000, 
