Nome,Força,Agilidade,Resistência,Arte de combate,Bloqueio,Preço de Venda,Condição,Moral,Notas
Anel Arcano de Yanfar,13,13,13,13,12,30940,Level:182,, 
Anel de Espinhos dos Dúvidas,13,14,13,13,13,31600,Level:186,-37000, 
Anel de Escaravelho,14,14,14,13,13,31600,Level:186,+37000, 
Anel Astral das Nagas,21,21,21,21,21,1925,Level:189,, 
Cobra Capa de Poder,14,13,14,14,14,32800,Level:193,, 
Anel Serpentino da Abominação,14,14,14,14,15,33150,Level:195,, 
Energia Solar,15,15,14,14,15,33850,Level:199,, 
Anel de Sangue Astral Rebelde,23,22,22,23,23,1975,Level:202,, 
Anel da Trindade,15,15,16,16,15,35000,Level:206,, 
Banda Brilhante da Madrugada,16,15,16,17,17,40000,Level:216,, 
Anel de Sinete de Honra,26,25,25,26,26,2500,Level:228,, 
Banda de Obsidiana,17,17,17,16,17,46000,Level:241,, 
Flamestone Gigante,17,16,17,17,17,52000,Level:255,, 
Anel de Safira da Nobreza,18,17,17,18,17,60000,Level:270,, 
Olho do Vigilante do Fogo,28,27,28,28,29,2800,Level:285,, 
Banda Lord De'Broulis,18,17,18,18,18,67000,Level:300,, 
Ciclo do Furacão,19,18,18,19,18,75000,Level:316,, 
Anel de Sinete Deepwatcher,19,19,19,19,19,83000,Level:335,, 
Anel de Honra Estável,31,30,30,31,31,3100,Level:352,,
