Nome,Raio-Danos,Força,Agilidade,Resistência,Arte de combate,Bloqueio,Preço de Venda,Level,Moral,Notas
Luz Ofuscante,-10 (Sombra),4,3,5,3,0,24000,78,+12500, 
Marca Negra,-10 (Sagrado),4,3,5,3,0,24000,78,-12500, 
Amuleto da Banshee,0,4,3,4,0,3,23000,76,, 
Amuleto de Poder da Era,-10,9,9,6,7,7,1000,74,, 
Amuleto de Finesse,-9 (Dragão),1,1,1,6,6,21000,71,, 
Amuleto do Mercenário,-9 (Fogo),3,2,2,0,3,20000,69,, 
Amuleto da Violência da Tempestade,-9 (Gelo),6,3,2,5,0,18500,66,, 
Bom Amuleto de Equilíbrio,-9 (Sombra),3,3,3,3,3,17500,61,+10000, 
Amuleto do Armeiro,0,7,5,7,7,7,900,61,, 
Amuleto do Ninja,0,0,4,4,4,4,15500,59,, 
Amuleto do Golpe Poderoso,0,4,2,0,4,2,14500,57,, 
Amuleto das Esferas,-6,2,4,2,2,2,13000,53,, 
Amuleto dos Reis,0,7,6,5,3,2,800,51,, 
Amuleto dos Pious,-7 (Sombra),1,1,0,4,0,10500,47,+7500, 
Amuleto do Chacal,-7 (Sagrado),1,0,0,4,0,10500,47,-7500, 
Amuleto Protetor (Gelo),-6,4,3,3,2,0,8000,45,, 
Amuleto Protetor (Fogo),-6,0,3,3,0,0,8000,42,, 
Amuleto Protetor (Dragão),-5,0,0,0,0,0,7000,40,, 
Amuleto do Destino,0,5,5,5,2,2,750,36,, 
Amuleto da Esperança,-6 (Sombra),0,0,0,3,0,6000,34,+5000, 
Amuleto da Morte,-6 (Sagrado),0,0,0,3,0,6000,34,-5000, 
Amuleto da Fúria,0,4,4,0,3,0,5000,32,, 
Amuleto da Trindade,0,4,4,4,4,0,500,29,, 
Amuleto da Felicidade,-4 (Sombra),2,0,2,2,0,4000,26,+2500, 
Amuleto do Demônio,-4 (Sagrado),2,0,2,2,0,4000,26,-2500, 
Amuleto de Resistência (Relâmpago),-3,2,0,2,0,0,3250,24,, 
Amuleto Protetor,0,2,2,2,2,2,400,22,, 
Amuleto de Força,-2 (Fogo),0,0,2,0,0,2750,20,, 
Amuleto do Juramento do Dragão,-2 (Dragão),0,0,0,2,0,2000,17,, 
Amuleto de Resiliência,-2,0,2,2,0,3,250,15,, 
Amuleto de Veneno,-1 (Sombra),0,4,0,0,2,1500,12,+500, 
Amuleto de Salvação,-1 (Sagrado),2,0,2,2,0,1500,12,-500, 
Amuleto de Proteção (Fogo),-2,0,0,0,0,0,1000,10,, 
Amuleto Protetor (Gelo),-2,0,0,0,0,0,750,9,, 
Amuleto de Resistência,0,0,2,1,0,1,50,8,, 
Amuleto de Ataque,0,0,0,0,1,0,500,6,, 
